,2017-2022 NAICS to SIC Crosswalk,,
8051,623210,Skilled Nursing Care Facilities,"Residential Intellectual and DevelopmentalDisability Facilities"
8059,623210,"Nursing and Personal Care, Nec","Residential Intellectual and DevelopmentalDisability Facilities"
8361,623210,Residential Care,"Residential Intellectual and DevelopmentalDisability Facilities"
8361,623220,Residential Care,"Residential Mental Health and SubstanceAbuse Facilities"
8051,623311,Skilled Nursing Care Facilities,Continuing Care Retirement Communities
8052,623311,Intermediate Care Facilities,Continuing Care Retirement Communities
8059,623311,"Nursing and Personal Care, Nec",Continuing Care Retirement Communities
8361,623312,Residential Care,Assisted Living Facilities for the Elderly
8361,623990,Residential Care,Other Residential Care Facilities
8322,624110,Individual and Family Services,Child and Youth Services
8322,624120,Individual and Family Services,"Services for the Elderly and Persons withDisabilities"
8322,624190,Individual and Family Services,Other Individual and Family Services
8322,624210,Individual and Family Services,Community Food Services
8322,624221,Individual and Family Services,Temporary Shelters
8322,624229,Individual and Family Services,Other Community Housing Services
8322,624230,Individual and Family Services,Emergency and Other Relief Services
8331,624310,Job Training and Related Services,Vocational Rehabilitation Services
8351,624410,Child Day Care Services,Child Day Care Services
5812,711110,Eating Places,Theater Companies and Dinner Theaters
7922,711110,Theatrical Producers and Services,Theater Companies and Dinner Theaters
7922,711120,Theatrical Producers and Services,Dance Companies
7929,711130,Entertainers and Entertainment Groups,Musical Groups and Artists
7929,711190,Entertainers and Entertainment Groups,Other Performing Arts Companies
7999,711190,"Amusement and Recreation, Nec",Other Performing Arts Companies
7941,711211,"Sports Clubs, Managers, and Promoters",Sports Teams and Clubs
7948,711212,"Racing, Including Track Operation",Racetracks
7948,711219,"Racing, Including Track Operation",Other Spectator Sports
7999,711219,"Amusement and Recreation, Nec",Other Spectator Sports
6512,711310,Nonresidential Building Operators,"Promoters of Performing Arts, Sports, andSimilar Events with Facilities"
7389,711310,"Business Services, Nec","Promoters of Performing Arts, Sports, andSimilar Events with Facilities"
7922,711310,Theatrical Producers and Services,"Promoters of Performing Arts, Sports, andSimilar Events with Facilities"
7941,711310,"Sports Clubs, Managers, and Promoters","Promoters of Performing Arts, Sports, andSimilar Events with Facilities"
7999,711310,"Amusement and Recreation, Nec","Promoters of Performing Arts, Sports, andSimilar Events with Facilities"
7389,711320,"Business Services, Nec","Promoters of Performing Arts, Sports, andSimilar Events without Facilities"
7922,711320,Theatrical Producers and Services,"Promoters of Performing Arts, Sports, andSimilar Events without Facilities"
7941,711320,"Sports Clubs, Managers, and Promoters","Promoters of Performing Arts, Sports, andSimilar Events without Facilities"
7999,711320,"Amusement and Recreation, Nec","Promoters of Performing Arts, Sports, andSimilar Events without Facilities"
7922,711410,Theatrical Producers and Services,"Agents and Managers for Artists, Athletes,Entertainers, and Other Public Figures"
7941,711410,"Sports Clubs, Managers, and Promoters","Agents and Managers for Artists, Athletes,Entertainers, and Other Public Figures"
7383,711510,News Syndicates,"Independent Artists, Writers, andPerformers"
7699,711510,"Repair Services, Nec","Independent Artists, Writers, andPerformers"
7819,711510,Services Allied To Motion Pictures,"Independent Artists, Writers, andPerformers"
7922,711510,Theatrical Producers and Services,"Independent Artists, Writers, andPerformers"
7929,711510,Entertainers and Entertainment Groups,"Independent Artists, Writers, andPerformers"
8999,711510,"Services, Nec","Independent Artists, Writers, andPerformers"
8412,712110,Museums and Art Galleries,Museums
8412,712120,Museums and Art Galleries,Historical Sites
8422,712130,Botanical and Zoological Gardens,Zoos and Botanical Gardens
7999,712190,"Amusement and Recreation, Nec",Nature Parks and Other Similar Institutions
8422,712190,Botanical and Zoological Gardens,Nature Parks and Other Similar Institutions
7996,713110,Amusement Parks,Amusement and Theme Parks
7993,713120,Coin-operated Amusement Devices,Amusement Arcades
7999,713210,"Amusement and Recreation, Nec",Casinos (except Casino Hotels)
7993,713290,Coin-operated Amusement Devices,Other Gambling Industries
7999,713290,"Amusement and Recreation, Nec",Other Gambling Industries
7992,713910,Public Golf Courses,Golf Courses and Country Clubs
7997,713910,Membership Sports and Recreation Clubs,Golf Courses and Country Clubs
7999,713920,"Amusement and Recreation, Nec",Skiing Facilities
4493,713930,Marinas,Marinas
7991,713940,Physical Fitness Facilities,Fitness and Recreational Sports Centers
7997,713940,Membership Sports and Recreation Clubs,Fitness and Recreational Sports Centers
7999,713940,"Amusement and Recreation, Nec",Fitness and Recreational Sports Centers
7933,713950,Bowling Centers,Bowling Centers
7911,713990,"Dance Studios, Schools, and Halls","All Other Amusement and RecreationIndustries"
7993,713990,Coin-operated Amusement Devices,"All Other Amusement and RecreationIndustries"
7997,713990,Membership Sports and Recreation Clubs,"All Other Amusement and RecreationIndustries"
7999,713990,"Amusement and Recreation, Nec","All Other Amusement and RecreationIndustries"
7011,721110,Hotels and Motels,Hotels (except Casino Hotels) and Motels
7041,721110,Membership-basis Organization Hotels,Hotels (except Casino Hotels) and Motels
7011,721120,Hotels and Motels,Casino Hotels
7011,721191,Hotels and Motels,Bed-and-Breakfast Inns
7011,721199,Hotels and Motels,All Other Traveler Accommodation
7033,721211,Trailer Parks and Campsites,"RV (Recreational Vehicle) Parks andCampgrounds"
7032,721214,Sporting and Recreational Camps,"Recreational and Vacation Camps (exceptCampgrounds)"
7041,721310,Membership-basis Organization Hotels,Rooming and Boarding Houses
4789,722310,"Transportation Services, Nec",Food Service Contractors
5812,722310,Eating Places,Food Service Contractors
5812,722320,Eating Places,Caterers
5963,722330,Direct Selling Establishments,Mobile Food Services
5813,722410,Drinking Places,Drinking Places (Alcoholic Beverages)
5812,722511,Eating Places,Full-Service Restaurants
5812,722513,Eating Places,Limited-Service Restaurants
5812,722514,Eating Places,"Cafeterias, Grill Buffets, and Buffets"
5461,722515,Retail Bakeries,Snack and Nonalcoholic Beverage Bars
5812,722515,Eating Places,Snack and Nonalcoholic Beverage Bars
7538,811111,General Automotive Repair Shops,General Automotive Repair
7533,811112,Auto Exhaust System Repair Shops,Automotive Exhaust System Repair
7537,811113,Automotive Transmission Repair Shops,Automotive Transmission Repair
7539,811118,"Automotive Repair Shops, Nec","Other Automotive Mechanical and ElectricalRepair and Maintenance"
7532,811121,Top and Body Repair and Paint Shops,"Automotive Body, Paint, and Interior Repairand Maintenance"
7536,811122,Automotive Glass Replacement Shops,Automotive Glass Replacement Shops
7549,811122,"Automotive Services, Nec",Automotive Glass Replacement Shops
7549,811191,"Automotive Services, Nec","Automotive Oil Change and LubricationShops"
7542,811192,Carwashes,Car Washes
7534,811198,Tire Retreading and Repair Shops,"All Other Automotive Repair andMaintenance"
7539,811198,"Automotive Repair Shops, Nec","All Other Automotive Repair andMaintenance"
7549,811198,"Automotive Services, Nec","All Other Automotive Repair andMaintenance"
7622,811211,Radio and Television Repair,"Consumer Electronics Repair andMaintenance"
7629,811211,Electrical Repair Shops,"Consumer Electronics Repair andMaintenance"
7699,811211,"Repair Services, Nec","Consumer Electronics Repair andMaintenance"
7378,811212,Computer Maintenance and Repair,"Computer and Office Machine Repair andMaintenance"
7629,811212,Electrical Repair Shops,"Computer and Office Machine Repair andMaintenance"
7699,811212,"Repair Services, Nec","Computer and Office Machine Repair andMaintenance"
7622,811213,Radio and Television Repair,"Communication Equipment Repair andMaintenance"
7629,811213,Electrical Repair Shops,"Communication Equipment Repair andMaintenance"
7629,811219,Electrical Repair Shops,"Other Electronic and Precision EquipmentRepair and Maintenance"
7699,811219,"Repair Services, Nec","Other Electronic and Precision EquipmentRepair and Maintenance"
7692,811310,Welding Repair,"Commercial and Industrial Machinery andEquipment (except Automotive andElectronic) Repair and Maintenance"
7694,811310,Armature Rewinding Shops,"Commercial and Industrial Machinery andEquipment (except Automotive andElectronic) Repair and Maintenance"
7699,811310,"Repair Services, Nec","Commercial and Industrial Machinery andEquipment (except Automotive andElectronic) Repair and Maintenance"
7699,811411,"Repair Services, Nec","Home and Garden Equipment Repair andMaintenance"
7623,811412,Refrigeration Service and Repair,Appliance Repair and Maintenance
7629,811412,Electrical Repair Shops,Appliance Repair and Maintenance
7699,811412,"Repair Services, Nec",Appliance Repair and Maintenance
4581,811420,"Airports, Flying Fields, and Services",Reupholstery and Furniture Repair
7641,811420,Reupholstery and Furniture Repair,Reupholstery and Furniture Repair
7251,811430,Shoe Repair and Shoeshine Parlors,Footwear and Leather Goods Repair
7699,811430,"Repair Services, Nec",Footwear and Leather Goods Repair
3732,811490,Boatbuilding and Repairing,"Other Personal and Household GoodsRepair and Maintenance"
7219,811490,"Laundry and Garment Services, Nec","Other Personal and Household GoodsRepair and Maintenance"
7631,811490,"Watch, Clock, and Jewelry Repair","Other Personal and Household GoodsRepair and Maintenance"
7699,811490,"Repair Services, Nec","Other Personal and Household GoodsRepair and Maintenance"
7241,812111,Barber Shops,Barber Shops
7231,812112,Beauty Shops,Beauty Salons
7231,812113,Beauty Shops,Nail Salons
7299,812191,Miscellaneous Personal Services,Diet and Weight Reducing Centers
7299,812199,Miscellaneous Personal Services,Other Personal Care Services
7261,812210,Funeral Service and Crematories,Funeral Homes and Funeral Services
6531,812220,Real Estate Agents and Managers,Cemeteries and Crematories
6553,812220,Cemetery Subdividers and Developers,Cemeteries and Crematories
7261,812220,Funeral Service and Crematories,Cemeteries and Crematories
7215,812310,Coin-operated Laundries and Cleaning,Coin-Operated Laundries and Drycleaners
7211,812320,"Power Laundries, Family and Commercial","Drycleaning and Laundry Services (exceptCoin-Operated)"
7212,812320,Garment Pressing and Cleaners' Agents,"Drycleaning and Laundry Services (exceptCoin-Operated)"
7216,812320,"Drycleaning Plants, Except Rugs","Drycleaning and Laundry Services (exceptCoin-Operated)"
7219,812320,"Laundry and Garment Services, Nec","Drycleaning and Laundry Services (exceptCoin-Operated)"
7251,812320,Shoe Repair and Shoeshine Parlors,"Drycleaning and Laundry Services (exceptCoin-Operated)"
7389,812320,"Business Services, Nec","Drycleaning and Laundry Services (exceptCoin-Operated)"
7213,812331,Linen Supply,Linen Supply
7219,812331,"Laundry and Garment Services, Nec",Linen Supply
7218,812332,Industrial Launderers,Industrial Launderers
7384,812921,Photofinish Laboratories,"Photofinishing Laboratories (except One-Hour)"
7384,812922,Photofinish Laboratories,One-Hour Photofinishing
7299,812930,Miscellaneous Personal Services,Parking Lots and Garages
7521,812930,Automobile Parking,Parking Lots and Garages
4899,812990,"Communication Services, Nec",All Other Personal Services
7251,812990,Shoe Repair and Shoeshine Parlors,All Other Personal Services
7299,812990,Miscellaneous Personal Services,All Other Personal Services
7389,812990,"Business Services, Nec",All Other Personal Services
7999,812990,"Amusement and Recreation, Nec",All Other Personal Services
8661,813110,Religious Organizations,Religious Organizations
6732,813211,"Trusts: Educational, Religious, Etc.",Grantmaking Foundations
8399,813212,"Social Services, Nec",Voluntary Health Organizations
8399,813219,"Social Services, Nec",Other Grantmaking and Giving Services
8399,813311,"Social Services, Nec",Human Rights Organizations
8399,813312,"Social Services, Nec","Environment, Conservation and WildlifeOrganizations"
8699,813312,"Membership Organizations, Nec","Environment, Conservation and WildlifeOrganizations"
8399,813319,"Social Services, Nec",Other Social Advocacy Organizations
8641,813319,Civic and Social Associations,Other Social Advocacy Organizations
8641,813410,Civic and Social Associations,Civic and Social Organizations
8699,813410,"Membership Organizations, Nec",Civic and Social Organizations
8611,813910,Business Associations,Business Associations
8699,813910,"Membership Organizations, Nec",Business Associations
8621,813920,Professional Organizations,Professional Organizations
8631,813930,Labor Organizations,"Labor Unions and Similar LaborOrganizations"
8651,813940,Political Organizations,Political Organizations
6531,813990,Real Estate Agents and Managers,"Other Similar Organizations (exceptBusiness, Professional, Labor, and PoliticalOrganizations)"
8641,813990,Civic and Social Associations,"Other Similar Organizations (exceptBusiness, Professional, Labor, and PoliticalOrganizations)"
8699,813990,"Membership Organizations, Nec","Other Similar Organizations (exceptBusiness, Professional, Labor, and PoliticalOrganizations)"
8811,814110,,Private Households
9111,921110,Executive Offices,Executive Offices
9121,921120,Legislative Bodies,Legislative Bodies
9311,921130,"Finance, Taxation, and Monetary Policy",Public Finance Activities
9131,921140,Executive and Legislative Combined,"Executive and Legislative Offices,Combined"
8641,921150,Civic and Social Associations,"American Indian and Alaska Native TribalGovernments"
9199,921190,"General Government, Nec",Other General Government Support
9211,922110,Courts,Courts
9221,922120,Police Protection,Police Protection
9222,922130,Legal Counsel and Prosecution,Legal Counsel and Prosecution
9223,922140,Correctional Institutions,Correctional Institutions
9224,922160,Fire Protection,Fire Protection
9229,922190,"Public Order and Safety, Nec","Other Justice, Public Order, and SafetyActivities"
9411,923110,Administration of Educational Programs,Administration of Education Programs
9431,923120,Administration of Public Health Programs,Administration of Public Health Programs
9441,923130,"Administration of Social and ManpowerPrograms","Administration of Human ResourcePrograms (except Education, Public Health,and Veterans' Affairs Programs)"
9451,923140,Administration of Veterans' Affairs,Administration of Veterans' Affairs
9511,924110,"Air, Water, and Solid Waste Management","Administration of Air and Water Resourceand Solid Waste Management Programs"
9512,924120,"Land, Mineral, and Wildlife Conservation",Administration of Conservation Programs
9531,925110,Housing Programs,Administration of Housing Programs
9532,925120,Urban and Community Development,"Administration of Urban Planning andCommunity and Rural Development"
9611,926110,"Administration of General EconomicPrograms","Administration of General EconomicPrograms"
9621,926120,"Regulation, Administration ofTransportation","Regulation and Administration ofTransportation Programs"
9631,926130,"Regulation, Administration of Utilities","Regulation and Administration ofCommunications, Electric, Gas, and OtherUtilities"
9641,926140,Regulation of Agricultural Marketing,"Regulation of Agricultural Marketing andCommodities"
9651,926150,"Regulation, Miscellaneous CommercialSectors","Regulation, Licensing, and Inspection ofMiscellaneous Commercial Sectors"
9661,927110,Space Research and Technology,Space Research and Technology
9711,928110,National Security,National Security
